time_s,state,frame_valid,truth_cn0_db_hz,estimated_cn0_valid,estimated_cn0_db_hz,fll_locked,dll_locked,doppler_error_hz,code_phase_error_chips
51.00000000,Track,1,40.00000000,1,39.23851542,1,1,-0.01059776,0.00048580
52.00000000,Track,1,40.00000000,1,39.49413920,1,1,0.00703429,-0.00072448
53.00000000,Track,1,40.00000000,1,39.53554882,1,1,-0.05581692,-0.00213926
54.00000000,Track,1,40.00000000,1,39.53225056,1,1,-0.00101453,0.00049534
55.00000000,Track,1,40.00000000,1,39.55123430,1,1,-0.03000464,0.00018550
56.00000000,Track,1,40.00000000,1,39.51790633,1,1,-0.00886615,0.00130208
57.00000000,Track,1,40.00000000,1,39.54030076,1,1,-0.00327246,0.00082553
58.00000000,Track,1,40.00000000,1,39.59130912,1,1,-0.03646474,0.00105107
59.00000000,Track,1,40.00000000,1,39.56190786,1,1,-0.04454005,0.00100776
60.00000000,Track,1,40.00000000,1,39.61447543,1,1,0.01609212,-0.00000333
61.00000000,Track,1,39.67000000,1,39.60863414,1,1,0.04450231,-0.00108356
62.00000000,Track,1,39.33666667,1,39.34300475,1,1,-0.04843629,0.00010585
63.00000000,Track,1,39.00333333,1,38.99505478,1,1,-0.00250406,-0.00151186
64.00000000,Track,1,38.67000000,1,38.61999339,1,1,0.01355502,-0.00150937
65.00000000,Track,1,38.33666667,1,38.26934333,1,1,0.04334259,-0.00163981
66.00000000,Track,1,38.00333333,1,37.92795675,1,1,0.00617915,0.00231972
67.00000000,Track,1,37.67000000,1,37.64565352,1,1,0.07524096,0.00434568
68.00000000,Track,1,37.33666667,1,37.27010501,1,1,0.03493058,0.00313825
69.00000000,Track,1,37.00333333,1,36.83821490,1,1,-0.07663277,0.00223064
70.00000000,Track,1,36.67000000,1,36.60443596,1,1,-0.04805333,0.00283495
71.00000000,Track,1,36.33666667,1,36.19902373,1,1,-0.00433454,0.00247269
72.00000000,Track,1,36.00333333,1,35.84688993,1,1,-0.09741010,0.00191239
73.00000000,Track,1,35.67000000,1,35.59762262,1,1,-0.04872204,0.00297474
74.00000000,Track,1,35.33666667,1,35.27430757,1,1,-0.04090719,0.00387765
75.00000000,Track,1,35.00333333,1,35.00875496,1,1,-0.00940219,0.00670192
76.00000000,Track,1,34.67000000,1,34.52581183,1,1,-0.12295428,0.00433712
77.00000000,Track,1,34.33666667,1,34.32183093,1,1,-0.05734091,0.00636200
78.00000000,Track,1,34.00333333,1,34.03440545,1,1,0.01045625,0.00504176
79.00000000,Track,1,33.67000000,1,33.85687240,1,1,-0.01589672,0.00313851
80.00000000,Track,1,33.33666667,1,33.44966844,1,1,-0.20049917,0.00479952
81.00000000,Track,1,33.00333333,1,32.84656275,1,1,-0.03090986,0.00078152
82.00000000,Track,1,32.67000000,1,32.53301115,1,1,0.01764404,0.00371909
83.00000000,Track,1,32.33666667,1,32.26566534,1,1,0.03588261,0.00490815
84.00000000,Track,1,32.00333333,1,32.19369186,1,1,0.02646132,0.00074931
85.00000000,Track,1,31.67000000,1,31.73023925,1,1,0.00429811,0.00082753
86.00000000,Track,1,31.33666667,1,31.37967270,1,1,-0.00462543,-0.00618018
87.00000000,Track,1,31.00333333,1,31.11868553,1,1,0.10708062,-0.00417293
88.00000000,Track,1,30.67000000,1,30.79302154,1,1,-0.15214127,-0.00622744
89.00000000,Track,1,30.33666667,1,30.47583225,1,1,-0.03788712,-0.00462734
90.00000000,Track,1,30.00333333,1,29.93628939,1,1,-0.01280820,-0.00568860
91.00000000,Track,1,29.67000000,1,29.38999815,1,1,-0.02132136,-0.00973560
92.00000000,Track,1,29.33666667,1,28.89746806,1,1,0.04191479,-0.00762098
93.00000000,Track,1,29.00333333,1,28.68647813,1,1,0.01813915,-0.00224198
94.00000000,Track,1,28.67000000,1,28.49993885,1,1,0.15614539,-0.00328101
95.00000000,Track,1,28.33666667,1,28.17357709,1,1,0.08543564,-0.00492248
96.00000000,Track,1,28.00333333,1,27.99037860,1,1,-0.09295126,-0.00720678
97.00000000,Track,1,27.67000000,1,27.73082449,1,1,0.08487793,-0.01000526
98.00000000,Track,1,27.33666667,1,27.35264534,1,1,0.22011770,-0.00654486
99.00000000,Track,1,27.00333333,1,26.99449354,1,1,0.28096207,-0.00715307
100.00000000,Track,1,26.67000000,1,26.77561756,1,1,0.20310979,0.00041447
101.00000000,Track,1,26.33666667,1,26.57166097,1,1,-0.01904931,0.00597901
102.00000000,Track,1,26.00333333,1,26.41136657,1,1,-0.33058406,0.00684180
103.00000000,Track,1,25.67000000,1,26.17163661,1,1,-0.48614440,0.01013902
104.00000000,Track,1,25.33666667,1,25.82533415,1,1,-0.51107193,0.00457151
105.00000000,Track,1,25.00333333,1,25.46183078,1,1,-0.57563270,0.00400906
106.00000000,Track,1,24.67000000,1,25.03196324,1,1,0.01093086,0.00392326
107.00000000,Track,1,24.33666667,1,24.60484093,1,1,0.35761399,0.01115045
108.00000000,Track,1,24.00333333,1,24.20871870,1,1,0.00252697,0.01587979
109.00000000,Track,1,23.67000000,1,23.98960250,1,1,0.30329227,0.01408374
110.00000000,Track,1,23.33666667,1,23.77585995,1,1,0.06349153,0.01622505
111.00000000,Track,1,23.00333333,1,23.54676232,1,1,0.38590659,0.02053598
112.00000000,Track,1,22.67000000,1,23.34097167,1,1,0.51660492,0.01852049
113.00000000,Track,1,22.33666667,1,22.97021533,1,1,0.65049985,0.01134847
114.00000000,Track,1,22.00333333,1,22.59870739,1,1,0.71973289,0.00506476
115.00000000,Track,1,21.67000000,1,22.22035429,1,1,0.47469966,0.00544933
116.00000000,Track,1,21.33666667,1,21.79628950,1,1,0.62701181,-0.00867659
117.00000000,Track,1,21.00333333,1,21.41713957,1,1,0.52701181,-0.03905134
118.00000000,Track,1,20.67000000,1,21.01299749,1,1,0.42701181,-0.06955715
119.00000000,Track,1,20.33666667,1,20.58402622,1,1,0.32701181,-0.10019403
120.00000000,Track,1,20.00333333,1,20.17926196,1,1,0.22701181,-0.13096196
121.00000000,Weak,1,19.67000000,1,19.85099680,1,1,0.11889830,-0.14082523
122.00000000,Weak,1,19.33666667,1,19.44790884,1,1,0.15669213,-0.12619351
123.00000000,Weak,1,19.00333333,1,19.03661738,1,1,0.15175730,-0.11548873
124.00000000,Weak,1,18.67000000,1,18.71786746,1,1,0.12944512,-0.10111354
125.00000000,Weak,1,18.33666667,1,18.10938295,1,1,0.00732377,-0.08476751
126.00000000,Weak,1,18.00333333,1,17.79353694,1,1,0.09892355,-0.08084755
127.00000000,Weak,1,17.67000000,1,17.60602466,1,1,0.07759672,-0.07781261
128.00000000,Weak,1,17.33666667,1,17.29101329,1,1,0.05335064,-0.07273928
129.00000000,Weak,1,17.00333333,1,17.21031837,1,1,0.03725778,-0.06329566
130.00000000,Weak,1,16.67000000,1,16.99050102,1,1,0.01995266,-0.06066569
131.00000000,Weak,1,16.33666667,1,16.82088917,1,1,-0.00154903,-0.06566441
132.00000000,Weak,1,16.00333333,1,16.75200513,1,1,-0.03631140,-0.06106645
133.00000000,Weak,1,15.67000000,1,16.54962482,1,1,-0.06980453,-0.05607408
134.00000000,Weak,1,15.33666667,1,16.28665320,1,1,-0.09612930,-0.05056793
135.00000000,Weak,1,15.00333333,1,16.08315735,1,1,-0.12706536,-0.04241828
136.00000000,Weak,1,14.67000000,1,15.81237203,1,1,-0.09185922,-0.03921288
137.00000000,Weak,1,14.33666667,1,15.60939905,1,1,-0.16582577,-0.03967881
138.00000000,Weak,1,14.00333333,1,15.37613884,1,1,-0.27175817,-0.04302035
139.00000000,Weak,1,13.67000000,1,14.91567977,1,1,-0.20975408,-0.05768140
140.00000000,Weak,1,13.33666667,1,14.49783081,1,1,-0.24222427,-0.04977731
141.00000000,Weak,1,13.00333333,1,14.24179749,1,1,-0.26883304,-0.05345690
142.00000000,Weak,1,12.67000000,1,14.15580365,1,1,-0.34047003,-0.04557989
143.00000000,Weak,1,12.33666667,1,14.09167523,1,1,-0.33546076,-0.05322885
144.00000000,Weak,1,12.00333333,1,13.72929864,1,1,-0.36974483,-0.05112565
145.00000000,Weak,1,11.67000000,1,13.32918627,1,1,-0.41577171,-0.05353543
146.00000000,Weak,1,11.33666667,1,12.76191123,1,1,-0.54802909,-0.07119755
147.00000000,Weak,1,11.00333333,1,12.07146701,1,1,-0.51278601,-0.07254124
148.00000000,Weak,1,10.67000000,1,11.35625612,1,1,-0.55912231,-0.08171823
149.00000000,Weak,1,10.33666667,1,10.99408366,1,1,-0.60318493,-0.09314074
150.00000000,Weak,1,10.00333333,1,10.23251186,1,1,-0.64684549,-0.08346538
151.00000000,Weak,1,10.00000000,1,9.94510303,1,1,-0.70910546,-0.09897185
152.00000000,Weak,1,10.00000000,1,9.51343667,1,1,-0.77466204,-0.09051084
153.00000000,Weak,1,10.00000000,1,8.54139077,1,1,-0.78042742,-0.07684901
154.00000000,Weak,1,10.00000000,1,8.09981338,1,1,-0.66072859,-0.07176925
155.00000000,Weak,1,10.00000000,1,7.42188821,1,1,-0.83466822,-0.06788416
156.00000000,Weak,1,10.00000000,1,7.10685271,1,1,-0.86970149,-0.06278618
157.00000000,Weak,1,10.00000000,1,6.59638143,1,1,-0.88907811,-0.06830348
158.00000000,Weak,1,10.00000000,1,6.93000749,1,1,-0.91720032,-0.07587207
159.00000000,Weak,1,10.00000000,1,7.58594165,1,1,-0.92083907,-0.06582027
160.00000000,Weak,1,10.00000000,1,8.32843664,1,1,-0.93802152,-0.06457306
161.00000000,Weak,1,10.00000000,1,8.41881292,1,1,-0.94142947,-0.04438026
162.00000000,Weak,1,10.00000000,1,7.81348238,1,1,-0.96653989,-0.02827021
163.00000000,Weak,1,10.00000000,1,8.09788916,1,1,-0.98674938,-0.02586769
164.00000000,Weak,1,10.00000000,1,8.02365699,1,1,-0.85691733,-0.00387129
165.00000000,Weak,1,10.00000000,1,8.58509780,1,1,-1.02312644,0.00522103
166.00000000,Weak,1,10.00000000,1,9.43996115,1,1,-1.04250241,0.00635504
