scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,cn0_control_valid,cn0_control_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_24db_fm62p5_cp0p3,32.00000000,1600,Medium,0,1,1,NWPR,200,23.78354235,1,23.86544521,1,23.60054061,0.77777912,1,1,0.00000000,-0.16267974,0.14513789,-0.00067107,4501.22171629,388.76197234,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03572899,0.00000014,1,0.10170059,0.00756800,1.15910979,0.98883723,4501.14750095,0.07421534,0.01790345,0.01782554,388.75609003,0.00588231,24.00000000
pullin_24db_fm62p5_cp0p3,33.00000000,1650,Medium,0,1,1,NWPR,200,23.86155388,1,23.76865705,1,23.86270481,0.65699754,1,1,0.00000000,-0.14795724,0.13498579,0.00086378,4501.26285108,394.66707614,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03593707,0.00000013,1,0.10143770,0.00738582,0.62338326,0.99572586,4501.16473417,0.09811691,0.01656456,0.01937252,394.65537736,0.01169878,24.00000000
pullin_24db_fm62p5_cp0p3,34.00000000,1700,Medium,0,1,1,NWPR,200,23.85821029,1,22.54256569,1,23.40720834,0.62773808,1,1,-0.18011447,-0.14962679,0.12571885,0.00103238,4501.26811189,400.56892567,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03479999,0.00000013,1,0.10134108,0.00721917,0.35281663,0.99836346,4501.18063380,0.08747809,0.01523688,0.01956311,400.55468640,0.01423927,24.00000000
pullin_24db_fm62p5_cp0p3,35.00000000,1750,Medium,0,1,1,NWPR,200,23.79588551,1,22.90166545,1,23.47293338,0.45747015,1,1,0.17980901,-0.12809374,0.11577972,-0.00265115,4501.32763317,406.45913446,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03568586,0.00000013,1,0.09799587,0.00700409,0.23316419,0.99954498,4501.19521291,0.13242026,0.01392413,0.02176173,406.45401540,0.00511906,24.00000000
pullin_24db_fm62p5_cp0p3,36.00000000,1800,Medium,0,1,1,NWPR,200,23.79404188,1,24.39269576,1,23.85881523,0.51792666,1,1,-0.28410081,-0.13382953,0.10897007,-0.00097836,4501.31601020,412.35861945,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03404528,0.00000012,1,0.09618890,0.00683154,0.33958310,0.99982578,4501.20848826,0.10752194,0.01262995,0.02141532,412.35336266,0.00525678,24.00000000
pullin_24db_fm62p5_cp0p3,37.00000000,1850,Medium,0,1,1,NWPR,200,23.77129200,1,24.11344801,1,23.74153883,0.46535720,1,1,-0.24189614,-0.13392499,0.10288844,-0.00085323,4501.32516267,418.25953459,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03320888,0.00000012,1,0.09537579,0.00668663,0.24438490,0.99993329,4501.22048021,0.10468245,0.01135795,0.02185093,418.25272648,0.00680812,24.00000000
pullin_24db_fm62p5_cp0p3,38.00000000,1900,Medium,0,1,1,NWPR,200,23.66094871,1,24.31979731,1,22.95691608,0.49020376,1,1,-0.07802881,-0.13343197,0.09750076,-0.00114258,4501.33304749,424.16002423,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03238444,0.00000012,1,0.09586025,0.00657058,0.19844332,0.99997446,4501.23121273,0.10183476,0.01011166,0.02227278,424.15210518,0.00791905,24.00000000
pullin_24db_fm62p5_cp0p3,39.00000000,1950,Medium,0,1,1,NWPR,200,23.69407785,1,22.53006475,1,23.62240922,0.55499480,1,1,-0.00744932,-0.13684136,0.09297192,-0.00174812,4501.32791459,430.05639839,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03119800,0.00000012,1,0.09562726,0.00645008,0.54038893,0.99999022,4501.24071326,0.08720133,0.00889456,0.02230345,430.05149714,0.00490125,24.00000000
pullin_24db_fm62p5_cp0p3,40.00000000,2000,Medium,0,1,1,NWPR,200,23.60239812,1,24.53313979,1,23.47302394,0.49070232,1,1,-0.06503990,-0.12439412,0.08893471,-0.00240198,4501.38760216,435.95122794,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03207268,0.00000012,1,0.09650815,0.00635219,0.36951389,0.99999626,4501.24901270,0.13858946,0.00771003,0.02436265,435.95090076,0.00032718,24.00000000
pullin_24db_fm62p5_cp0p3,41.00000000,2050,Medium,0,1,1,NWPR,200,23.47193030,1,23.60512538,1,23.20341465,0.46666583,1,1,0.42452308,-0.11813238,0.08553620,-0.00252081,4501.40715241,441.84745067,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03170005,0.00000012,1,0.09567920,0.00623556,0.73984535,0.99999857,4501.25614528,0.15100713,0.00656138,0.02513866,441.85031449,-0.00286382,24.00000000
