scenario,time_s,frame_id,state,state_pending,frame_valid,cn0_valid,cn0_method,cn0_window_blocks,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,fll_locked,dll_locked,fll_latest_hz,fll_mean_hz,fll_se_hz,dll_mean_chips,doppler_hz,tracked_code_phase_chips,coherent_ms,noncoherent_blocks,carrier_obs_ms,carrier_update_ms,dll_obs_ms,dll_update_ms,use_phase,use_frequency,carrier_rate_hz_s,kf_rate_noise_hz2_s3,kf_health_valid,kf_freq_sigma_hz,kf_rate_sigma_hz_s,kf_freq_nis,kf_freq_accept_ratio,truth_doppler_hz,doppler_error_hz,truth_doppler_rate_hz_s,rate_error_hz_s,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
pullin_22db_fm62p5_cp0p30,21.00000000,1050,Medium,0,1,1,NWPR,200,21.53588379,1,21.86375666,0.64861121,1,1,0.39293642,0.05819192,0.07591919,-0.02657743,4500.81658711,261.40064898,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03885197,0.00000021,1,0.13791101,0.01992439,0.53277649,1.00000000,4500.86991326,-0.05332615,0.03230544,0.00654653,261.36990576,0.03074322,22.00000000
pullin_22db_fm62p5_cp0p30,22.00000000,1100,Medium,0,1,1,NWPR,200,21.61609875,1,22.15403622,0.58370148,1,1,-0.36355829,0.03373128,0.06810160,-0.02643472,4500.81090109,264.31854214,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03479523,0.00000020,1,0.13613443,0.01878765,0.41927817,1.00000000,4500.90161273,-0.09071164,0.03108834,0.00370689,264.29255892,0.02598322,22.00000000
pullin_22db_fm62p5_cp0p30,23.00000000,1150,Medium,0,1,1,NWPR,200,21.50441310,1,16.18906500,0.58602789,1,1,-0.10995405,0.03385811,0.06051268,-0.02238873,4500.85029371,267.24671464,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03517558,0.00000019,1,0.13396629,0.01769186,0.21377061,1.00000000,4500.93208021,-0.08178650,0.02984205,0.00533353,267.21523227,0.03148237,22.00000000
pullin_22db_fm62p5_cp0p30,24.00000000,1200,Medium,0,1,1,NWPR,200,21.36205484,1,24.25771845,0.53396211,1,1,0.25456901,0.03516245,0.05479015,-0.02055398,4500.88852491,270.17103476,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03546286,0.00000018,1,0.13314171,0.01674898,0.14783248,1.00000000,4500.96128826,-0.07276335,0.02857005,0.00689281,270.13792499,0.03310977,22.00000000
pullin_22db_fm62p5_cp0p30,25.00000000,1250,Medium,0,1,1,NWPR,200,21.27612246,1,22.00122897,0.52590846,1,1,0.00000000,0.03919575,0.04957551,-0.02055355,4500.94414152,273.09070260,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03706129,0.00000018,1,0.13144698,0.01581872,0.07735561,1.00000000,4500.98921291,-0.04507139,0.02727587,0.00978542,273.06063626,0.03006634,22.00000000
pullin_22db_fm62p5_cp0p30,26.00000000,1300,Medium,0,1,1,NWPR,200,21.23804774,1,22.14859694,0.62372446,1,1,0.01325590,0.03789119,0.04812833,-0.01667021,4500.96139875,276.01655109,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03551615,0.00000017,1,0.12960162,0.01494144,0.17252258,1.00000000,4501.01583380,-0.05443505,0.02596312,0.00955304,275.98336524,0.03318585,22.00000000
pullin_22db_fm62p5_cp0p30,27.00000000,1350,Medium,0,1,1,NWPR,200,21.39126314,1,21.21154898,0.57803348,1,1,0.17003246,0.03684708,0.04776806,-0.01974685,4500.99416458,278.92963501,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03535398,0.00000016,1,0.12679203,0.01408787,0.42078759,1.00000000,4501.04113417,-0.04696959,0.02463544,0.01071853,278.90611108,0.02352393,22.00000000
pullin_22db_fm62p5_cp0p30,28.00000000,1400,Medium,0,1,1,NWPR,200,21.49244786,1,21.63202272,0.58331393,1,1,0.09515416,0.04770377,0.04500355,-0.02213870,4501.06515618,281.85162419,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03785870,0.00000016,1,0.12582067,0.01339632,0.24229840,1.00000000,4501.06510095,0.00005523,0.02329655,0.01456215,281.82887292,0.02275127,22.00000000
pullin_22db_fm62p5_cp0p30,29.00000000,1450,Medium,0,1,1,NWPR,200,21.45700680,1,22.44331433,0.66720257,1,1,-0.10799498,0.04500817,0.04277260,-0.02252524,4501.11015976,284.75577436,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03834033,0.00000015,1,0.12622858,0.01282672,0.20052234,1.00000000,4501.08772477,0.02243499,0.02195015,0.01639018,284.75164988,0.00412447,22.00000000
pullin_22db_fm62p5_cp0p30,30.00000000,1500,Medium,0,1,1,NWPR,200,21.51481666,1,20.10420100,0.74123744,1,1,-0.32399170,0.03477719,0.04099423,-0.02166528,4501.11898175,287.67001812,20.00000000,16.00000000,320.00000000,320.00000000,320.00000000,320.00000000,0,1,0.03643712,0.00000015,1,0.12370714,0.01217822,0.25850835,1.00000000,4501.10900000,0.00998175,0.02060000,0.01583712,287.67444110,-0.00442298,22.00000000
